                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 1.1721,                0.64921,                 1.1557,                 1.3234,                0.71273,                 1.1653,                0.91809,                0.85686,                0.91682,                0.49742,                 1.5449,                0.75454,                 1.4551,                  1.639,                0.75954,                 1.4207,             0.00028608,             0.00028608,             0.00028608
                     78,                 1.1583,                0.63914,                  1.161,                 1.3075,                0.69494,                 1.1705,                 0.9019,                0.86537,                0.92112,                0.49279,                 1.5381,                0.81314,                 1.4599,                 1.6349,                0.83324,                  1.427,             0.00027508,             0.00027508,             0.00027508
                     79,                 1.1469,                0.63027,                 1.1424,                 1.3006,                0.67247,                 1.1525,                 0.9044,                0.85472,                0.91232,                0.50134,                 1.5339,                0.82365,                 1.4618,                 1.6327,                0.84752,                 1.4281,             0.00026408,             0.00026408,             0.00026408
                     80,                 1.1335,                0.63443,                 1.1391,                   1.29,                0.69649,                  1.154,                0.89931,                0.85116,                0.91278,                0.49908,                 1.5102,                0.80062,                 1.4375,                 1.6184,                0.81118,                 1.4093,             0.00025309,             0.00025309,             0.00025309
                     81,                 1.1278,                0.63321,                   1.13,                 1.2843,                0.70098,                  1.147,                0.88674,                0.87641,                0.91807,                 0.5051,                 1.5243,                0.76002,                 1.4615,                 1.6211,                0.78303,                  1.426,             0.00024209,             0.00024209,             0.00024209
                     82,                 1.1175,                0.62046,                 1.1349,                 1.2683,                0.67512,                 1.1482,                0.89903,                0.87515,                0.91951,                0.50209,                 1.5275,                0.76834,                 1.4525,                 1.6305,                0.77577,                 1.4297,             0.00023109,             0.00023109,             0.00023109
                     83,                 1.1032,                0.61821,                  1.121,                 1.2593,                0.67169,                 1.1348,                0.90705,                0.86455,                0.91638,                0.50593,                 1.5122,                0.79771,                 1.4473,                 1.6129,                0.82802,                 1.4131,             0.00022009,             0.00022009,             0.00022009
                     84,                 1.0871,                0.60008,                 1.1179,                 1.2442,                0.64746,                 1.1324,                0.90499,                0.86414,                0.91639,                  0.514,                 1.4932,                0.76149,                 1.4388,                 1.5943,                 0.7781,                 1.4115,             0.00020909,             0.00020909,             0.00020909
                     85,                 1.0796,                0.59228,                 1.1153,                 1.2285,                 0.6429,                  1.128,                0.91357,                0.86642,                0.92002,                0.51293,                   1.49,                0.75676,                 1.4349,                 1.5917,                0.77255,                 1.4055,             0.00019809,             0.00019809,             0.00019809
                     86,                 1.0724,                0.58762,                 1.1148,                 1.2214,                 0.6324,                 1.1282,                0.90174,                0.88132,                0.91638,                0.51026,                 1.4842,                0.76936,                 1.4295,                 1.5775,                0.79515,                 1.4091,             0.00018709,             0.00018709,             0.00018709
                     87,                 1.0879,                0.59868,                 1.1107,                 1.2373,                0.64992,                 1.1235,                0.88912,                0.87303,                0.92111,                0.52015,                 1.4716,                0.75285,                 1.4346,                 1.5609,                0.78791,                 1.3963,             0.00017609,             0.00017609,             0.00017609
                     88,                 1.0566,                0.58057,                 1.1084,                 1.2041,                 0.6285,                 1.1212,                0.89984,                0.86857,                0.91966,                0.51895,                 1.4834,                0.77724,                 1.4414,                 1.5793,                0.79971,                 1.4111,             0.00016509,             0.00016509,             0.00016509
                     89,                 1.0603,                0.59231,                 1.1026,                 1.2216,                0.65388,                 1.1214,                0.90966,                0.85641,                0.91977,                0.51611,                 1.4816,                0.78683,                  1.437,                 1.5756,                0.80126,                 1.4071,              0.0001541,              0.0001541,              0.0001541
                     90,                 1.0419,                0.57286,                 1.0861,                 1.1983,                0.62771,                 1.1009,                0.91311,                0.86917,                0.92337,                0.52331,                  1.473,                0.78461,                  1.439,                 1.5665,                0.80863,                 1.3978,              0.0001431,              0.0001431,              0.0001431
                     91,                0.93746,                0.43684,                 1.0182,                 1.0423,                0.33095,                 1.0164,                0.89371,                0.86933,                0.91331,                0.51471,                 1.4934,                0.83078,                 1.4406,                 1.5799,                0.84408,                 1.4085,              0.0001321,              0.0001321,              0.0001321
                     92,                0.90859,                0.42494,                 1.0114,                 1.0156,                0.31885,                 1.0076,                0.91636,                0.87007,                0.91825,                0.51578,                 1.4885,                0.80768,                 1.4526,                 1.5755,                0.82708,                 1.4067,              0.0001211,              0.0001211,              0.0001211
                     93,                0.89015,                 0.4164,                 1.0016,                0.99261,                0.31061,                0.99881,                0.89432,                0.87745,                0.91862,                0.51481,                 1.4809,                0.79245,                 1.4418,                 1.5663,                0.84498,                    1.4,              0.0001101,              0.0001101,              0.0001101
                     94,                0.87597,                0.41102,                0.99678,                0.97366,                0.29778,                0.99276,                 0.9219,                0.86139,                0.91608,                0.52078,                 1.4681,                 0.8168,                 1.4273,                  1.552,                0.85465,                 1.3896,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     95,                0.86768,                0.40707,                0.99632,                0.96679,                 0.2965,                0.99279,                0.91525,                 0.8638,                0.91455,                0.52202,                 1.4722,                0.80919,                 1.4416,                 1.5513,                0.84409,                 1.3914,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     96,                0.85159,                0.40258,                0.98556,                0.94873,                 0.2923,                0.98202,                0.91001,                0.87116,                0.91864,                0.52323,                 1.4633,                0.80934,                 1.4368,                 1.5393,                0.85284,                 1.3937,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     97,                0.83924,                0.39817,                0.97798,                0.93905,                 0.2916,                0.97639,                0.91689,                0.85958,                0.91476,                0.52074,                 1.4733,                0.82586,                 1.4465,                 1.5687,                0.85248,                 1.4136,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     98,                 0.8313,                0.39757,                0.97563,                0.92979,                0.28972,                0.97277,                0.92647,                0.86129,                0.91455,                0.52208,                  1.465,                0.84046,                 1.4268,                 1.5546,                0.85331,                 1.3956,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     99,                0.82719,                0.39195,                0.97454,                0.92127,                0.28387,                 0.9712,                0.92446,                0.87276,                0.92028,                0.52485,                 1.4681,                0.81759,                 1.4434,                 1.5548,                0.83333,                 1.4031,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    100,                0.81225,                0.38671,                0.96906,                0.90438,                0.27508,                0.96684,                0.92454,                 0.8646,                0.91982,                0.52726,                 1.4599,                0.82172,                 1.4359,                 1.5465,                0.83953,                 1.3964,             3.3108e-05,             3.3108e-05,             3.3108e-05
