                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                  1.336,                0.69217,                 1.1688,                 1.5686,                0.73878,                 1.1394,                 0.8277,                0.80059,                0.83825,                0.41786,                 1.7936,                 0.9211,                 1.6286,                 1.9134,                 1.0292,                 1.5236,             0.00049506,             0.00049506,             0.00049506
                     59,                 1.3172,                0.68626,                 1.1594,                 1.5531,                0.72105,                 1.1297,                  0.788,                0.77818,                0.82509,                0.39578,                 1.8281,                 0.9732,                 1.6363,                 1.9568,                 1.0591,                 1.5558,             0.00048406,             0.00048406,             0.00048406
                     60,                 1.3137,                0.67661,                 1.1551,                 1.5466,                0.71937,                 1.1224,                0.84052,                0.75037,                 0.7918,                0.38954,                 1.9047,                 1.0358,                 1.6822,                 2.0845,                 1.1141,                 1.6255,             0.00047306,             0.00047306,             0.00047306
                     61,                 1.3025,                0.66326,                 1.1436,                  1.533,                0.69559,                 1.1114,                0.83001,                0.78044,                0.83449,                0.41991,                 1.8404,                 1.0178,                 1.6525,                 1.9414,                 1.0581,                 1.5554,             0.00046206,             0.00046206,             0.00046206
                     62,                 1.2825,                0.66108,                  1.159,                 1.5057,                0.70322,                 1.1221,                0.84565,                0.76057,                0.82117,                0.39768,                 1.8258,                0.98002,                 1.6663,                   1.97,                 1.0846,                 1.5851,             0.00045107,             0.00045107,             0.00045107
                     63,                 1.2702,                0.65046,                 1.1372,                 1.4837,                0.69054,                 1.1076,                0.88558,                0.72835,                0.81868,                0.40555,                  1.821,                0.99832,                 1.6568,                 1.9426,                 1.1017,                 1.5562,             0.00044007,             0.00044007,             0.00044007
                     64,                 1.2881,                0.66336,                 1.1487,                 1.5203,                0.71661,                 1.1195,                0.82243,                0.79159,                0.82154,                0.40929,                 1.8461,                0.96283,                 1.6705,                 1.9689,                 1.0314,                 1.5683,             0.00042907,             0.00042907,             0.00042907
                     65,                  1.263,                 0.6431,                  1.131,                 1.4835,                 0.6967,                 1.1061,                0.82623,                 0.7776,                0.81635,                0.39417,                 1.8709,                 1.0195,                 1.6938,                 1.9804,                 1.1181,                 1.5837,             0.00041807,             0.00041807,             0.00041807
                     66,                 1.2258,                0.61992,                 1.1106,                 1.4508,                0.66508,                 1.0834,                0.81655,                0.80174,                0.83831,                 0.4158,                 1.8435,                 0.9784,                 1.6963,                 1.9227,                 1.0898,                 1.5632,             0.00040707,             0.00040707,             0.00040707
                     67,                 1.2527,                0.64141,                 1.1347,                 1.4677,                0.69934,                 1.1038,                0.83399,                0.75256,                0.82634,                0.40821,                 1.8273,                0.97841,                 1.6926,                 1.9562,                 1.0679,                 1.5791,             0.00039607,             0.00039607,             0.00039607
                     68,                 1.2288,                0.61437,                 1.1177,                 1.4548,                0.64874,                   1.09,                0.81904,                0.79801,                0.83073,                 0.4114,                 1.8216,                0.90562,                 1.6473,                 1.9287,                 1.0078,                 1.5535,             0.00038507,             0.00038507,             0.00038507
                     69,                 1.2101,                0.61028,                 1.1068,                 1.4543,                0.64028,                 1.0812,                0.85539,                0.76695,                0.83582,                0.41216,                  1.854,                0.95034,                 1.6894,                 1.9804,                 1.0252,                 1.5796,             0.00037407,             0.00037407,             0.00037407
                     70,                 1.2069,                0.60248,                 1.1097,                 1.4342,                0.61811,                 1.0859,                 0.8163,                0.81004,                0.85495,                0.42581,                  1.837,                 0.9077,                 1.6839,                 1.9452,                0.98965,                 1.5684,             0.00036307,             0.00036307,             0.00036307
                     71,                 1.2129,                0.59798,                 1.1029,                  1.456,                0.62461,                 1.0728,                0.79917,                0.78474,                0.81789,                0.39728,                 1.8733,                0.99042,                 1.6858,                 1.9871,                 1.1275,                 1.5627,             0.00035208,             0.00035208,             0.00035208
                     72,                 1.2058,                0.60196,                    1.1,                 1.4341,                  0.628,                 1.0727,                0.84908,                  0.794,                0.84211,                0.40652,                 1.8623,                 0.9359,                 1.7176,                  1.973,                 1.0439,                 1.6059,             0.00034108,             0.00034108,             0.00034108
                     73,                 1.1853,                0.60596,                 1.0846,                 1.4268,                0.63176,                 1.0665,                0.82968,                0.78908,                0.83432,                 0.4119,                  1.855,                 1.0538,                 1.7268,                 1.9584,                 1.0883,                 1.6127,             0.00033008,             0.00033008,             0.00033008
                     74,                 1.1762,                0.59118,                 1.0897,                 1.4114,                0.61588,                 1.0627,                0.82691,                0.78883,                0.83712,                0.42109,                 1.8526,                0.98016,                 1.7271,                 1.9572,                 1.0529,                 1.6021,             0.00031908,             0.00031908,             0.00031908
                     75,                  1.179,                0.58814,                 1.0869,                 1.4044,                0.59665,                 1.0571,                0.86401,                0.75106,                0.83662,                0.41889,                 1.8555,                  1.002,                 1.7447,                  1.967,                 1.0524,                 1.6145,             0.00030808,             0.00030808,             0.00030808
                     76,                  1.151,                0.57807,                 1.0898,                 1.3776,                0.60036,                 1.0664,                0.84916,                0.76686,                0.83986,                0.40906,                 1.8765,                0.99915,                 1.7881,                 1.9697,                 1.1644,                 1.6315,             0.00029708,             0.00029708,             0.00029708
                     77,                 1.1832,                0.59227,                   1.08,                 1.4049,                0.61198,                 1.0606,                0.82587,                0.81805,                0.84397,                0.41676,                 1.8519,                0.91986,                 1.7466,                  1.957,                0.98954,                  1.617,             0.00028608,             0.00028608,             0.00028608
                     78,                 1.1326,                0.56401,                 1.0761,                  1.362,                0.57682,                 1.0517,                 0.8258,                0.80047,                0.83412,                0.41005,                 1.8579,                0.99072,                 1.7685,                 1.9673,                 1.0533,                 1.6264,             0.00027508,             0.00027508,             0.00027508
