                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                  1.092,                 0.5554,                 1.0483,                0.83492,                 0.8586,                0.87152,                0.44879,                 1.7591,                 0.8787,                 1.5777,             0.00023109,             0.00023109,             0.00023109
                     82,                 1.0637,                0.54028,                 1.0492,                0.86869,                0.83605,                0.85978,                0.44229,                 1.7271,                 0.8768,                 1.5614,             0.00022009,             0.00022009,             0.00022009
                     83,                 1.0696,                0.54114,                 1.0406,                0.86779,                0.85029,                 0.8853,                0.45272,                 1.7278,                0.84117,                 1.5605,             0.00020909,             0.00020909,             0.00020909
                     84,                  1.024,                0.53549,                 1.0209,                0.88687,                0.82678,                0.87352,                0.45191,                 1.7218,                 0.8594,                 1.5449,             0.00019809,             0.00019809,             0.00019809
                     85,                 1.0519,                0.52945,                  1.027,                0.87614,                0.83308,                 0.8742,                0.45826,                 1.6931,                0.85772,                 1.5492,             0.00018709,             0.00018709,             0.00018709
                     86,                 1.0342,                0.53035,                 1.0332,                0.86231,                0.84369,                0.86791,                0.45204,                 1.7262,                0.88232,                  1.568,             0.00017609,             0.00017609,             0.00017609
                     87,                 1.0216,                0.51075,                 1.0249,                0.87329,                0.81796,                0.85771,                0.44111,                 1.7678,                0.89373,                 1.6012,             0.00016509,             0.00016509,             0.00016509
                     88,                 1.0162,                0.51668,                 1.0266,                0.86201,                0.84611,                0.87272,                0.44839,                 1.7465,                0.86318,                 1.5903,              0.0001541,              0.0001541,              0.0001541
                     89,                 1.0142,                0.50801,                 1.0213,                0.85937,                0.85802,                0.87881,                0.46128,                 1.7397,                0.84652,                 1.5862,              0.0001431,              0.0001431,              0.0001431
                     90,                0.98927,                0.49689,                 1.0174,                0.87562,                0.82072,                0.86399,                0.44824,                 1.7394,                0.87307,                 1.6059,              0.0001321,              0.0001321,              0.0001321
                     91,                 1.0023,                0.48464,                 1.0405,                0.86207,                0.82572,                0.86117,                0.44646,                 1.7633,                0.87099,                 1.6283,              0.0001211,              0.0001211,              0.0001211
                     92,                0.97647,                0.47053,                 1.0226,                0.86775,                0.84348,                0.86749,                0.44919,                  1.761,                0.86916,                 1.6243,              0.0001101,              0.0001101,              0.0001101
                     93,                0.96328,                0.46446,                 1.0126,                0.86669,                0.84346,                0.86911,                0.44873,                 1.7608,                0.89048,                 1.6248,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     94,                0.95654,                  0.463,                 1.0242,                0.88845,                0.83947,                0.86801,                0.45571,                  1.768,                0.86981,                 1.6328,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     95,                  0.932,                0.44932,                 1.0089,                0.87483,                0.83365,                0.86501,                0.45459,                 1.7635,                0.88834,                 1.6258,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     96,                0.94501,                0.45842,                 1.0064,                0.85441,                 0.8396,                0.86013,                0.45158,                 1.7551,                0.88106,                 1.6269,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     97,                0.92137,                0.44581,                 1.0038,                0.85132,                0.84598,                0.86299,                0.45536,                 1.7658,                0.88293,                 1.6459,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     98,                0.92409,                0.44037,                0.99473,                0.87871,                0.82568,                0.86597,                0.45517,                 1.7631,                0.88699,                  1.646,             4.4107e-05,             4.4107e-05,             4.4107e-05
                     99,                0.91694,                0.44065,                 1.0098,                0.88471,                0.82638,                 0.8693,                0.45347,                 1.7616,                0.88819,                  1.647,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    100,                0.88785,                0.43331,                 0.9807,                  0.881,                0.83431,                 0.8755,                 0.4559,                 1.7574,                0.88337,                 1.6488,             2.2109e-05,             2.2109e-05,             2.2109e-05
